from,to,distance
143,316,0.445
314,143,1.15
315,310,1.346
309,314,1.025
310,144,0.831
308,309,0.525
144,250,0.531
307,308,0.755
250,356,1.656
293,307,0.749
292,293,0.582
356,355,0.429
291,292,0.554
355,207,0.634
286,288,0.617
288,112,0.95
112,147,0.502
301,300,0.508
147,304,1.131
304,152,0.496
290,289,0.139
289,301,1.477
285,286,0.747
172,153,0.301
176,172,2.057
191,236,0.271
236,86,5.255
79,203,2.512
179,199,0.994
152,302,0.543
302,291,0.789
207,154,0.675
154,290,0.565
300,299,1.609
300,58,1.609
299,298,1.599
299,59,1.599
299,194,1.599
58,298,1.599
58,59,1.599
58,194,1.599
114,285,0.756
69,285,0.756
151,191,6.036
180,191,6.036
153,141,2.757
312,132,2.986
312,133,2.986
132,311,1.218
133,311,1.218
195,249,4.066
189,160,4.676
141,20,4.274
273,276,0.182
273,41,0.182
40,276,0.182
40,41,0.182
276,175,1.44
276,35,1.44
41,175,1.44
41,35,1.44
255,269,1.185
255,34,1.185
36,269,1.185
36,34,1.185
175,202,0.628
175,37,0.628
35,202,0.628
35,37,0.628
225,255,0.714
225,36,0.714
38,255,0.714
38,36,0.714
202,205,0.549
202,23,0.549
37,205,0.549
37,23,0.549
57,225,1.278
57,38,1.278
60,225,1.278
60,38,1.278
205,206,0.651
205,42,0.651
23,206,0.651
23,42,0.651
206,61,0.445
206,62,0.445
42,61,0.445
42,62,0.445
212,57,0.448
212,60,0.448
44,57,0.448
44,60,0.448
61,213,0.589
61,45,0.589
62,213,0.589
62,45,0.589
98,212,0.588
98,44,0.588
101,212,0.588
101,44,0.588
213,214,0.888
213,47,0.888
45,214,0.888
45,47,0.888
217,238,0.753
217,50,0.753
48,238,0.753
48,50,0.753
214,217,0.379
214,48,0.379
47,217,0.379
47,48,0.379
105,98,2.099
105,101,2.099
106,98,2.099
106,101,2.099
238,239,0.895
238,51,0.895
50,239,0.895
50,51,0.895
239,241,0.319
239,66,0.319
51,241,0.319
51,66,0.319
240,105,0.96
240,106,0.96
25,105,0.96
25,106,0.96
241,244,0.813
241,52,0.813
66,244,0.813
66,52,0.813
108,240,1.13
108,25,1.13
109,240,1.13
109,25,1.13
244,245,0.587
244,53,0.587
52,245,0.587
52,53,0.587
245,246,0.346
245,54,0.346
53,246,0.346
53,54,0.346
348,108,0.45
348,109,0.45
56,108,0.45
56,109,0.45
247,348,1.233
247,56,1.233
55,348,1.233
55,56,1.233
49,348,1.233
49,56,1.233
46,348,1.233
46,56,1.233
246,251,1.873
246,26,1.873
54,251,1.873
54,26,1.873
251,215,0.348
251,216,0.348
26,215,0.348
26,216,0.348
252,247,1.343
252,55,1.343
252,49,1.343
252,46,1.343
67,247,1.343
67,55,1.343
67,49,1.343
67,46,1.343
253,252,0.941
253,67,0.941
68,252,0.941
68,67,0.941
215,218,0.942
215,219,0.942
216,218,0.942
216,219,0.942
218,114,0.847
218,69,0.847
219,114,0.847
219,69,0.847
298,253,0.73
298,68,0.73
59,253,0.73
59,68,0.73
194,253,0.73
194,68,0.73
127,131,0.252
131,122,1.965
123,121,2.371
122,116,2.881
115,123,2.875
116,233,5.355
233,138,0.586
233,259,0.586
134,115,5.382
138,177,2.183
259,177,2.183
